Filas: 10
Columnas: 10
Minas: 2
Casilla A1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla A2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla I2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla J2: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla A3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla C3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla D3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla E3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H3: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla I3: Mina: true, Revelada: false, Bandera: false, Minas Adyacentes: 0
Casilla J3: Mina: false, Revelada: false, Bandera: false, Minas Adyacentes: 1
Casilla A4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla C4: Mina: true, Revelada: false, Bandera: false, Minas Adyacentes: 0
Casilla D4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
